wc,tif,trb
4,10,45
10,54,70
7,33,47
5,11,33
4,8,27
6,3,33
9,45,44
4,10,24
12,59,91
9,67,92
727,6428,9361
10,40,170
10,54,94
10,74,90
8,9,71
4,4,31
6,16,50
3,2,7
5,10,43
5,10,29
15,124,127
2,0,5
8,18,82
3,3,13
9,35,90
5,9,47
8,42,38
2,1,15
9,54,67
7,22,74
7,25,130
4,9,22
6,3,43
8,44,78
5,16,39
8,32,64
8,27,69
4,9,26
5,9,33
8,19,61
8,42,38
6793,45281,104154
5,9,22
6,18,26
6,9,41
7,11,44
6,18,58
13,76,83
15,76,192
18,104,223
3,2,16
9,43,87
17,139,104
7,28,72
3,2,25
9,48,76
6,7,37
5,6,54
5,15,47
6,5,45
5,8,27
7,36,40
7,13,75
2,0,7
6,16,20
7,12,64
4,8,33
4,0,34
7,23,38
4,7,35
8,32,64
6,9,51
7,4,51
4,3,24
5,7,51
7,16,39
8,18,97
4,9,23
7,35,41
369,2613,6268
5,11,68
3,4,26
18,84,162
7,36,39
719,4716,11143
7,39,69
6,6,44
30,175,439
7,20,49
8,36,71
4,3,32
12,65,79
8,23,91
3,5,21
10,38,64
802,5777,11799
5,15,50
4,2,28
4,5,30
8,21,100
6,8,42
6,17,48
5,10,15
12,79,69
6,27,44
6,8,42
7,22,53
3,2,10
2,5,19
4,2,25
10,35,109
6,21,30
4,6,21
10,30,66
5,9,34
8,19,86
4,12,52
4,4,14
4,12,43
7,28,41
8,23,57
4,5,22
7,15,40
9,33,86
715,3206,14522
4,6,40
12,60,112
615,5300,8172
13,71,118
10,62,62
7,17,38
6,3,33
8,50,30
4,3,35
4,4,26
4,5,23
6,21,39
5,25,44
4,6,18
6,17,33
13,43,117
7,18,43
7,7,69
6,14,30
6,23,27
8,18,99
4,5,26
12,95,102
8,28,52
8,43,62
4,9,9
10,66,64
9,70,77
5,19,52
2,1,13
3,4,37
16,92,108
7,36,76
13,32,128
7,67,54
8,29,51
6,8,56
4,14,32
8,13,91
6,15,45
6,11,25
4,25,69
2,1,10
4,5,41
5,8,27
10,64,60
4,7,33
12,46,119
10,50,60
5,7,60
4,17,32
5,8,71
13,91,94
5,13,28
7,33,42
7,23,32
4,6,29
2,3,13
5,9,34
11,42,113
8,26,54
5,12,44
5,7,50
6,8,42
2,10,34
4,6,45
5,8,23
10,72,58
8,22,74
6,22,33
4,11,33
11,55,133
5,6,33
6,21,15
6,9,45
9,19,70
11,37,115
11,73,62
4,7,31
8,13,105
6,11,50
6,19,45
5,28,36
10,54,56
11,64,65
3,3,25
11,63,128
4,14,37
6,13,43
5,6,35
18,96,267
7,21,34
8,26,54
7,24,69
6,10,40
5,12,40
3,2,18
5,10,21
18,102,227
6,4,42
6,18,53
5,8,36
5,5,20
223,880,4581
8,33,47
9,35,103
5,9,26
7,28,43
412,1863,8304
15,90,99
15,37,124
7,11,69
18,84,104
11,52,97
6,16,28
6,28,32
3,7,48
5,12,45
5,20,48
10,68,42
12,76,90
5,16,11
8,30,88
23,150,177
2,1,10
9,44,73
4,17,47
17,119,118
4,4,40
6,25,71
7,19,54
11,44,65
7,24,56
4,14,39
6,16,39
4,15,33
696,2479,14878
5,6,62
7,14,55
11,47,62
4,6,31
3,7,41
18,77,169
10,38,92
6,8,36
6,19,41
5,10,40
11,59,141
9,20,85
10,64,66
11,56,89
307,1218,6396
6,13,55
10,30,94
3,12,27
4,11,28
5,16,39
10,53,96
6,13,62
5,9,43
7,25,30
15,133,98
5,15,20
11,33,110
8,38,42
9,26,87
12,66,70
5,2,23
8,29,72
5,4,35
5,11,28
4,24,40
5,13,33
27,164,273
7,19,61
8,31,49
12,29,109
9,41,85
7,32,43
5,5,41
47,376,378
3,2,21
5,20,48
4,5,11
5,7,36
10,30,135
5,1,26
7,26,54
4,9,37
5,12,46
6,18,53
8,17,63
5,17,52
5,11,66
4,12,48
1,7,12
6,14,46
8,28,82
6,12,36
8,31,95
3,4,24
5,5,40
5,10,31
10,74,71
5,7,50
