wc,tif,trb
5,11,51
11,51,84
8,32,67
8,17,63
4,8,27
7,12,43
8,31,49
4,10,24
15,65,116
8,29,77
51,445,570
11,41,180
17,83,216
13,100,121
8,15,65
6,21,48
14,96,94
5,12,13
6,16,44
7,24,47
12,83,91
5,4,23
7,15,62
6,7,29
11,43,114
6,14,30
16,87,127
5,7,39
6,30,30
14,55,157
20,151,263
6,23,32
7,14,66
9,44,89
6,14,46
13,62,109
7,25,64
4,9,26
6,13,38
8,19,61
13,57,58
665,4732,9875
5,9,22
7,24,31
8,18,68
7,11,44
8,18,90
26,204,119
250,1767,4325
27,224,292
5,8,33
101,549,673
9,45,46
7,28,72
5,2,30
10,54,81
186,727,3817
7,11,69
7,21,50
6,5,41
8,48,32
6,36,35
8,17,75
2,0,7
6,21,15
7,11,62
4,8,33
5,2,37
8,35,45
6,13,63
9,40,103
7,18,51
7,14,61
7,26,29
5,7,51
10,48,52
10,39,114
5,9,26
7,35,41
8,42,106
6,13,71
3,4,26
11,43,76
7,37,38
458,3782,6192
5,23,41
14,58,116
10,27,103
9,34,65
17,170,141
5,8,38
10,40,70
10,41,103
4,22,54
9,43,46
15,90,169
7,21,69
4,2,28
3,5,23
8,21,100
9,43,82
7,22,54
7,30,25
8,28,52
7,31,44
8,26,54
7,33,42
7,30,46
3,7,24
5,6,25
8,26,89
9,58,62
5,11,41
64,366,958
5,9,34
45,351,679
5,12,59
5,7,22
7,16,59
7,28,41
8,23,57
5,16,30
6,27,41
9,43,88
20,61,278
12,58,104
18,65,195
33,238,404
24,159,321
10,62,68
8,36,44
7,16,39
122,927,519
7,12,87
4,4,26
7,25,44
8,37,43
6,25,48
4,6,18
7,24,31
18,73,154
13,106,73
10,17,116
10,51,73
6,19,31
11,33,161
7,25,50
12,65,91
43,308,383
65,583,489
5,12,13
11,72,71
9,62,70
14,76,174
4,2,30
4,6,46
15,108,103
7,34,51
39,155,563
14,106,95
15,85,96
8,14,94
9,70,55
9,23,100
8,27,83
5,7,18
5,25,69
21,82,336
5,5,45
7,18,51
10,64,60
5,7,38
12,49,98
10,54,56
4,7,49
12,43,145
7,10,88
18,110,118
4,10,24
7,33,42
9,38,61
6,9,46
3,7,20
13,24,109
11,56,65
8,26,54
5,12,44
5,7,50
8,24,56
8,22,101
4,6,45
6,13,23
40,285,423
9,22,83
7,40,40
5,9,39
12,61,120
7,9,46
6,21,15
6,8,46
8,22,58
38,214,527
13,79,84
4,13,40
10,18,132
6,11,50
7,26,43
7,30,46
11,63,66
17,125,132
4,3,32
13,88,105
10,60,123
5,11,30
7,11,58
19,114,236
7,21,34
10,30,72
8,22,58
11,39,61
11,76,99
4,12,27
5,10,21
12,80,129
7,16,55
7,18,58
5,8,36
5,9,34
11,32,129
7,20,35
11,48,134
5,9,26
8,33,47
63,311,1113
13,85,80
14,45,141
6,11,65
27,116,172
9,44,85
7,22,47
9,53,76
6,24,65
7,19,54
12,55,122
9,57,42
14,75,109
5,16,11
8,22,78
22,121,181
5,12,34
7,20,53
6,18,50
24,197,181
6,5,43
6,25,71
6,14,54
34,302,242
7,24,56
4,5,34
8,21,59
4,15,33
11,30,182
6,6,62
5,9,36
12,50,58
5,10,31
6,8,54
21,116,199
10,38,92
8,22,58
6,19,41
7,27,53
5,15,53
12,33,125
30,276,270
9,38,65
45,159,713
326,1687,3277
13,43,132
4,29,35
8,69,64
7,22,53
12,48,117
6,13,62
4,6,37
6,12,24
22,96,216
4,9,21
10,32,100
7,17,38
12,42,110
10,55,59
7,28,27
8,29,72
8,22,58
7,28,47
6,49,65
8,66,55
9,41,118
9,41,83
11,67,76
10,9,83
8,30,71
13,110,97
7,25,44
443,2529,6150
4,3,25
11,36,136
7,12,43
5,6,33
10,40,121
6,10,26
11,60,86
5,31,40
5,12,46
13,52,107
7,15,54
4,17,47
5,11,66
5,16,55
3,8,20
8,30,64
9,28,91
13,93,112
8,17,63
3,2,14
8,28,52
5,10,31
12,72,89
5,10,47
13,52,159
12,72,74
7,26,85
5,10,41
200,1361,3341
13,54,109
6,17,47
4,10,45
8,37,43
80,366,1318
7,38,37
93,470,1379
23,91,164
6,6,45
5,11,14
5,11,20
10,29,101
9,38,81
9,25,88
8,39,41
9,73,70
7,42,79
5,18,37
1,0,0
14,73,83
8,17,63
33,277,218
17,107,112
5,3,22
10,53,77
5,15,50
6,1,43
16,89,131
2,1,23
12,54,73
15,87,114
8,53,27
9,33,93
8,35,45
34,260,297
7,30,66
8,30,50
8,30,50
10,38,92
11,71,52
11,61,96
4,6,27
6,4,47
6,8,40
7,20,49
20,165,137
4,25,39
5,3,43
1,1,8
13,49,181
6,8,28
13,38,191
22,110,305
2,1,15
8,24,56
4,15,69
7,12,61
6,29,47
16,108,118
7,15,40
10,34,142
9,18,105
10,55,75
5,12,52
4,2,37
14,108,104
11,43,104
13,39,176
8,30,50
10,26,106
236,474,2759
11,66,95
4,8,54
14,130,112
10,46,78
8,27,53
9,34,57
16,66,136
12,44,160
19,136,220
7,10,65
7,36,19
10,18,80
13,46,125
5,6,44
5,7,45
5,17,48
7,9,67
24,175,162
4,0,31
3,10,38
7,12,86
3,6,18
8,37,89
8,20,60
8,24,56
7,37,43
11,47,98
86,338,1722
8,7,73
11,45,98
9,26,99
9,21,120
12,65,73
5,7,24
464,3392,6336
13,108,85
6,45,73
4,7,53
22,82,242
3,1,23
8,24,56
6,16,60
7,9,62
8,47,33
123,684,2201
6,17,52
54,326,715
9,42,83
9,50,49
10,51,93
8,49,70
11,44,159
280,2175,4659
437,3296,3581
12,29,161
6,19,57
8,44,82
12,69,90
6,9,55
7,45,35
4,8,27
9,45,68
6,22,54
13,63,137
19,87,154
8,16,64
8,32,87
526,4894,6028
10,51,102
12,43,115
13,87,114
10,73,57
9,36,69
17,65,146
5,8,33
4,3,36
8,25,55
333,3060,3772
7,17,38
8,33,47
15,96,81
5,6,46
9,39,66
619,3382,10149
17,87,166
11,47,90
6,16,51
18,106,93
10,28,127
6,26,59
13,62,77
8,14,66
7,6,69
15,89,130
6,9,37
277,973,5721
21,98,157
3,3,23
9,40,88
5,21,64
269,2300,3295
5,16,43
10,66,121
8,57,105
8,47,74
12,62,132
