wc,tif,trb
314,1502,4099
342,1695,3459
307,2289,1977
447,2879,3047
67,646,373
398,2213,2375
592,3466,3730
84,396,1506
104,468,1350
119,781,1190
68,365,1063
461,2406,4542
253,2082,1450
330,1583,2276
317,1704,2577
93,665,1114
264,1396,1830
365,2623,1558
28,112,262
409,2178,2760
231,1241,1959
420,2097,5224
237,1316,2465
29,113,492
149,1418,830
51,201,960
250,1899,1266
376,2039,3544
297,2308,1836
382,2097,2485
361,2140,3293
289,1841,2405
304,1752,3002
296,1976,2030
374,1802,3557
489,3501,1842
376,2001,3465
95,661,748
12,44,124
521,3037,3747
86,581,723
11,45,82
202,1402,1691
77,496,574
105,387,1962
323,2199,2276
82,447,1085
288,2289,1725
100,337,1589
274,1815,1917
394,2318,3763
79,592,1146
489,2645,4483
425,2093,2880
131,815,945
108,825,889
234,586,3524
321,2209,2111
19,109,127
370,1973,3166
165,965,1998
525,2928,5461
219,1362,1951
493,1981,6082
313,1967,2593
199,1704,1114
219,1160,2778
244,1260,1403
244,1168,2598
204,1436,2048
295,1534,4151
259,1336,2515
383,2678,2137
395,2936,1922
171,1063,1493
276,1569,2101
106,922,506
274,1551,2684
293,1639,2725
237,1169,2247
199,1301,1499
163,1226,1060
211,925,3319
616,3408,4330
144,862,676
334,1982,3478
288,1516,2595
321,1949,2466
407,2318,2886
180,1087,1263
161,1045,1560
264,1165,1840
249,1429,1999
422,2491,2788
626,3971,4952
220,1245,2402
322,1227,4580
539,3479,2894
655,3505,5579
279,1962,1361
173,1532,760
124,521,1356
143,1046,1051
300,1883,1865
159,853,1692
275,1250,2239
432,2810,2394
70,418,741
82,402,1396
136,720,2244
179,1252,1645
87,619,502
290,1559,2734
488,3186,3742
390,3318,2077
199,1347,2124
624,3103,5609
441,2685,2647
429,1857,2918
401,1988,3742
36,185,595
210,1451,2030
620,3219,6055
614,4210,4759
193,1068,2102
224,1461,1959
403,2282,5065
365,1712,4469
361,2004,2796
524,3660,3632
261,1761,2241
171,832,2323
382,1941,4174
377,2122,2983
156,667,2073
555,3657,3712
353,2802,1583
94,583,928
227,1195,2120
370,1236,4602
164,1182,805
256,1434,1865
59,211,795
235,1283,2495
456,2952,2405
308,1558,4204
471,3816,2350
465,2137,4426
414,1971,3301
316,1959,2680
65,283,1031
111,524,1906
133,880,742
463,3403,2216
319,1597,3982
459,2293,2349
