wc,tif,trb
1147,7031,16752
1595,8938,14786
1770,13052,11593
1006,7737,7706
814,5421,9435
89,656,373
2892,14127,22957
643,4257,5965
410,2461,3102
219,1698,3179
492,3431,3962
2381,10637,23341
1088,7252,10925
232,1620,2222
704,3657,11239
748,3978,8268
1232,8043,15809
925,7085,5856
2537,12624,24738
2156,13975,13937
1258,8610,7965
893,4291,8369
1568,10231,11462
1332,7984,12808
1596,9556,14590
24,185,199
359,2748,2599
1283,8326,9881
2102,12951,16438
260,1928,1513
1329,9092,13821
955,7763,5381
1911,9726,17161
1869,12027,13613
602,2986,8036
1932,16268,5629
932,5264,12752
458,3266,4692
559,2821,9768
1978,11551,11048
1741,11270,10653
732,3627,10293
834,6108,6510
549,2770,7575
1427,6685,16409
1011,6629,12024
1893,11719,14868
1449,11430,13663
548,3905,3469
153,800,1871
1181,9034,5243
2037,10819,13107
889,6195,7054
2601,14028,26153
162,688,2808
1397,10030,9046
920,5538,9608
1154,5921,12204
404,1695,8019
1585,8587,15606
1954,9381,19112
3542,20739,31928
2075,12484,19383
787,2954,10867
1659,10294,16294
1670,12179,10136
2292,11267,23106
2095,11195,11710
29,117,228
1365,7769,14231
2234,10902,17616
1093,6561,11776
1479,7705,15606
695,5295,5725
1507,4810,21897
1580,8704,15311
940,4781,15255
20,94,228
1193,7509,13335
648,3291,6799
1310,8667,10513
1265,5064,17377
3044,15982,20861
2053,12921,16682
3407,20057,19763
1140,6556,14021
2042,10833,17377
1880,9212,18731
2405,13244,20694
2299,12034,20098
2141,13044,16315
1254,5513,16905
2320,15225,9781
1805,7110,18779
2451,17129,24189
1500,9425,12247
1024,5529,14131
2339,13121,17864
2550,15133,23941
766,4024,13020
1694,12118,12856
1408,6688,18314
1014,4119,15395
3129,20588,15307
1561,8246,15046
2061,11363,20926
796,3373,11695
1185,7567,8301
958,5964,13729
771,5581,4711
2142,9268,24089
1169,8952,7379
682,3999,7688
2218,14023,21932
1094,7405,11188
2799,13299,26779
1267,6419,12997
1474,9431,11998
1307,5903,14766
1629,8985,15292
115,646,1999
857,7321,8829
1577,8502,25273
2593,17095,20397
810,2954,15348
2258,15051,17358
1382,8625,15577
2443,12654,29010
2178,13665,18144
1949,10893,17514
1884,9430,19744
2712,13893,23623
2359,12968,25915
1667,8400,13512
2104,13166,10653
2458,17590,18814
1747,14374,7827
1183,6281,11981
1852,10570,21219
2523,10671,26271
837,4772,7865
1308,8036,11017
1869,8789,17080
1144,6748,13450
1226,8224,9446
900,5086,12525
1094,6928,12182
2543,11729,22322
2224,13424,12358
1231,8803,12160
2572,11578,24735
1784,7099,16013
317,1650,5644
2051,14411,11571
1226,7285,11169
2146,9786,16129
1801,7705,22027
768,4119,10634
2446,11084,27253
1501,8596,12347
2224,13433,15355
2794,14463,22330
1774,7243,21079
894,5761,8122
2614,13200,22518
80,435,1235
2132,12265,19261
1054,3601,15150
2598,18449,16027
1218,8390,7169
1287,6241,12132
3328,21238,24825
1148,6673,13198
1807,7659,24673
1120,4551,13079
1802,10384,14850
1083,6976,6582
1641,9603,16384
1192,4787,18737
1180,7086,13734
1806,6795,17481
731,4362,7375
1977,11847,10751
2183,11729,20794
1999,10520,22247
1461,9275,9502
2788,13830,23124
1494,8336,15457
1288,8370,10170
633,2210,12149
1891,11354,16253
1382,5439,18170
1602,8154,14670
2909,13632,28303
1138,9462,6619
2111,10240,21593
938,3809,16666
2457,14397,20773
1458,8350,12265
752,5100,9467
2281,12307,20613
1833,10716,16076
1608,8957,12005
2255,12770,16890
1451,9215,18218
1662,13052,10897
1242,7512,10120
1179,3270,16278
2726,14855,22076
1374,9718,11142
863,4294,10245
1188,9299,11204
1001,5311,8987
2279,11993,20281
1563,8840,13198
1900,8236,19963
3246,16652,28993
1015,5879,16876
3194,13974,34280
2336,12668,23261
667,3133,12501
3772,24528,25060
2404,15867,17324
1913,10292,24661
1609,10199,15142
1970,10510,20649
1152,7537,7624
2855,15124,17586
2882,18072,20123
2283,16088,17614
1662,9260,17333
1503,9057,13289
451,3564,2779
1215,8185,11335
2108,8267,28070
4194,21670,38997
1294,6763,11342
3529,16805,36091
1649,8891,15835
1134,6517,13187
600,4159,7475
2737,12616,24651
1773,8726,13807
1861,9134,16955
2789,15934,21076
784,4059,10226
529,2171,8606
1367,8898,11530
803,4719,10252
2726,16856,15260
1610,7855,12874
1543,7173,14858
1764,10824,15580
2053,13691,11549
552,2047,10773
4451,22811,51931
472,3098,5825
2420,16574,11108
2958,18350,18154
711,3693,8398
1456,7013,15619
231,1549,2483
2003,11046,17699
103,548,680
856,4888,8229
2495,17213,9296
1754,9126,18655
1057,7017,9807
1706,6989,20551
1673,7897,13845
1546,7333,14702
1633,6933,16117
1933,13246,16765
1727,7913,14512
628,3211,8569
1390,7953,11409
2243,13980,14969
2557,13797,25197
2968,11870,29993
2030,7731,18398
2042,12128,19592
913,5592,9889
1105,7262,13329
2115,10789,17831
2498,20082,13429
1867,8896,19605
1222,8111,10362
2457,17001,19604
1762,11493,11825
1770,9215,16282
1008,7287,7856
2095,14344,11627
1052,4950,13622
2039,9046,19743
1204,6932,11301
2651,15155,24418
1577,10801,10208
2004,14383,10512
1069,6576,9967
2803,15514,28650
1975,13695,13091
1687,8407,14931
2184,10823,17890
2463,14657,18660
1421,8760,12782
1720,12632,10311
2178,9053,25558
2451,13564,17968
2021,11876,20492
2093,8774,18078
499,2806,8445
950,5214,15664
1818,12156,9806
872,4914,8577
1814,13425,14215
2075,11447,29605
3585,23041,25452
783,2996,11351
1769,8251,18794
2261,14440,20347
1867,14020,8795
1877,12596,13203
2236,14572,17856
2344,16512,11595
393,2673,3424
221,755,4396
1276,6756,16066
1327,7082,12571
1264,5894,15425
1509,10189,12085
2714,16130,17897
2700,15412,19970
1216,8168,10545
1730,9156,16870
1175,7008,9407
1948,9537,19881
1197,6445,12320
1147,5282,11909
478,3994,3040
1672,8349,16274
1420,5847,14374
3390,20225,27383
1918,9990,16761
1888,10628,19334
596,3902,3901
1760,12100,13192
3432,11046,34051
1514,10629,10422
3131,16319,27223
3361,19557,23457
2241,14750,20841
1894,9532,20153
728,3008,13334
2256,12611,22731
1569,7306,13489
385,2460,5242
435,2613,4001
951,7212,7152
1392,8790,13677
548,3250,6178
1695,12722,9431
708,4261,10485
2117,10386,21755
1513,12408,6976
686,3689,11379
1703,8689,17549
1470,8179,8773
1042,7713,6756
740,4498,7509
2365,12370,17127
681,3859,8547
3481,18096,28543
1686,8398,13168
1774,8705,19478
1554,5682,12809
2035,10041,16188
1843,13640,9644
3057,23215,13840
905,5363,8217
1876,9974,15198
1469,8400,12304
1964,9215,16387
1345,10389,15656
1742,9836,14013
1880,11904,12318
980,6132,5097
1179,6145,11563
1375,8453,11838
1687,10437,11613
968,3668,15568
258,1103,4429
1169,6802,9637
1029,7763,7802
1837,15646,10273
2119,12785,11445
1080,4630,12337
1936,11179,15501
1544,8359,12331
2408,11339,26683
1030,5777,11277
1121,6684,11451
1981,13156,12644
1682,10544,14443
2399,13406,15875
1488,9760,13683
2891,14496,22423
2009,9154,26997
1538,8796,18077
1415,6973,16720
1434,8611,9498
2436,13416,19631
962,3841,16724
2267,12203,19138
3246,15972,29860
1950,9539,21164
1388,9644,11673
1442,7896,10803
2296,11887,22178
915,5112,9898
1460,9815,15545
363,2302,5161
1159,10530,3721
1008,5728,10356
3358,18458,28919
2314,12910,17874
2094,10737,21455
1647,8975,12723
3353,13822,38930
1971,9272,26066
1672,11390,15436
410,1104,8207
993,5879,6916
2113,12120,13904
1149,8351,9928
1635,9520,13658
2700,10962,27228
2303,13881,12771
1966,14030,12476
1511,9004,14261
2144,10035,16888
1981,10062,16836
1741,8817,24751
1217,9500,9014
3559,18435,20806
552,2953,7785
1382,8226,10329
2241,13506,19247
2653,18194,25428
1627,14099,10322
2141,11629,12774
1270,5761,16926
1908,8194,19691
271,857,4849
1661,10125,15092
2102,12776,8073
1804,13095,8878
2684,14332,22340
198,1676,1586
776,3601,11530
729,4510,8278
3216,21039,24703
1532,7256,18163
2292,15996,16024
1535,8387,18783
1536,7620,13283
1669,7847,26778
1484,11140,11206
3144,17858,28274
1502,12267,7247
3764,19032,35748
1288,5602,15310
911,6172,6060
1510,7979,15470
1911,10014,22193
2574,14585,34121
1322,6942,14821
825,5504,8633
818,5172,6289
1400,7567,16048
1529,8306,14341
2138,12499,13899
701,3222,11688
1247,9556,8875
2460,17615,12534
1113,5517,17152
538,3263,5851
2718,15823,21117
1936,7891,20202
1416,9396,13950
1580,8332,16043
1008,5835,10227
1218,7057,12926
377,1583,7422
2675,10816,32466
490,4016,3342
1986,9585,15329
1438,7872,7110
998,5523,11444
3639,23445,36680
519,4188,4721
777,6474,6005
96,596,1108
1308,6874,17089
1405,7919,13111
1934,12774,14906
716,2590,12624
1658,9467,18508
2096,11518,16067
751,4327,6725
