wc,tif,trb
2861,7624,63653
3153,19594,33990
1920,12561,18612
2248,14643,29343
1274,6865,24233
1450,12457,14895
3563,20521,46994
4334,18178,78083
5051,38465,51928
3728,28818,45416
2191,18243,19454
8747,48899,94384
20,94,258
1707,10552,24781
569,2402,11064
1660,8222,24020
940,8640,11494
498,1990,10340
3166,12856,63220
654,5667,10019
5611,36703,61542
26,155,343
4767,29740,42623
3103,13353,50488
3719,16348,61397
5119,31288,45571
2033,15517,14965
1958,7846,40910
3732,15828,71489
309,1979,5706
4851,22593,81810
1701,14551,24974
2134,16600,20900
1338,7957,17147
3625,16940,54751
1152,8314,12979
2990,9478,61994
7494,38464,85967
2473,9720,43974
1583,3471,35984
11,55,88
1432,13423,11086
500,1827,10529
1452,7244,28975
2751,16537,37987
4274,30109,20337
896,4668,11642
2639,8634,55177
3756,15856,54036
3641,20487,42334
11,70,114
5235,29101,56595
3529,10803,58311
7,23,38
2496,14914,24943
3237,12596,65655
2672,17787,39321
256,1281,4961
2390,10925,38361
7,28,27
790,1183,18435
5855,24903,72286
5001,32524,62545
5,3,59
2031,8209,32061
6955,41406,68799
6544,28011,70021
2467,17223,36094
2331,15582,33736
3171,17590,38845
2233,11102,38797
3642,27216,40927
1948,8212,36718
3659,28356,38498
1452,6547,29497
945,8322,12330
4002,18980,61082
4873,28691,52997
2937,13772,50190
6774,33817,83563
2248,22280,25587
596,2755,10249
4862,15111,94537
1863,15512,10266
2782,16366,44986
10,38,92
1247,5547,24137
6628,35482,73092
3312,20014,29711
1705,11130,14401
5265,35896,45177
1462,3874,29626
1822,7184,34970
1888,13815,30300
3258,16139,57159
5554,30697,60946
3320,13577,55083
3141,20228,22859
5210,30888,84569
1907,6362,24462
1959,9461,33592
4403,21806,60413
990,1495,23135
9761,51740,88745
495,1731,10590
1304,5591,26056
8001,55715,76064
4610,26154,70074
2618,12991,48271
6584,47225,59480
2406,11403,48455
5651,33415,79041
1814,10308,29824
6030,27237,58702
386,3892,5460
690,3167,13515
1464,4653,28882
5969,46864,47328
2053,6579,34344
5511,35931,39605
4122,25166,45024
5111,25451,67659
1052,4576,20864
5169,36609,38920
1959,9781,31613
1543,11521,18959
1450,5277,18830
1785,12575,26092
5175,26487,85663
1709,10495,22088
1289,10386,8705
6368,51870,29644
5399,41178,42631
895,1954,20206
7,14,59
1694,11489,24364
498,3457,8913
747,3512,7721
5498,34490,42824
980,4916,12640
1376,6019,24591
370,3637,5473
24,113,250
2137,4750,47535
2514,13712,30291
4612,31588,52664
973,3929,20270
1321,8631,15013
5117,31377,36630
3095,19900,30729
9025,47712,105990
6564,34935,76226
21,186,205
1768,11481,25307
69,459,1074
1930,7716,34725
2961,14957,39588
24,112,356
2850,13450,43330
2472,18125,28477
10,69,61
905,4042,18467
2874,15095,35265
2786,13704,48346
768,3194,15138
22,120,255
632,3400,12184
1451,8687,23166
5593,33090,54801
532,2457,10335
1306,11342,10318
1036,3618,22203
6182,30269,54035
24,117,315
18,58,272
1312,9709,10119
1658,5042,36313
496,3599,8454
493,4,12275
3896,18739,57073
146,754,2610
2122,15016,33813
6,12,24
502,1762,10626
3539,21355,27284
751,8125,8188
520,3920,4945
1150,12300,11451
2118,11109,37841
3285,17872,55378
11,18,189
5318,31377,51980
5286,24810,60761
8,14,66
968,4810,16330
2258,16401,14033
3783,27620,28983
2471,16101,25418
3718,31921,20799
1242,8082,22724
1046,3913,21117
3522,18768,46148
17,109,108
2507,19475,25126
1309,6692,20327
1657,13508,17632
975,1959,22270
1813,11692,16735
8,31,49
5929,44988,35819
993,4474,20231
7,19,56
360,2404,5368
2613,18154,27395
1073,3256,23449
1115,7534,16566
5885,48520,31121
15,45,184
878,7497,12746
270,806,5860
2933,27718,29367
8,25,55
1160,5482,22447
4003,22674,57338
1205,3292,23811
2156,16289,16121
1300,5838,24076
3506,12650,55644
778,2007,17143
4971,23310,59380
14,45,129
315,1256,6505
4317,24968,55199
3873,24928,39567
919,6798,15993
5145,25532,58679
3666,10547,67701
4075,26368,40116
1889,11859,26592
4705,15028,99451
1516,12959,19223
178,520,2823
2320,12122,19917
602,5625,5951
5690,45622,35240
2741,19328,31122
4267,23385,38931
736,3809,13094
2439,25135,29870
3072,9158,60878
979,3893,20366
1887,8996,20115
1256,9578,13732
5145,23962,63427
12,29,136
1725,6921,35974
7193,34905,80252
2156,11763,29585
16,81,159
2810,12032,50584
2005,8016,41955
633,2525,13129
1140,7047,13353
13,48,171
1969,7511,23347
2415,11286,38199
5,14,37
4544,16895,71610
2788,22101,29271
2980,24975,16839
7,36,40
1525,5804,32201
9,50,86
384,1690,5508
4991,28781,60924
1488,10548,16054
2422,9062,47048
2682,16922,36112
803,5534,5473
2282,10388,42722
3183,14709,54726
401,4182,2243
898,3638,14364
1997,3989,45842
1543,6647,28408
7,22,33
6454,31355,69127
2821,23629,32185
6379,28604,82724
4007,28300,26357
2552,11629,42823
1264,12876,6603
524,1653,3118
2679,12095,40782
4261,21605,43896
1481,15563,5354
1094,7373,15313
992,7777,16575
1863,10904,16731
1238,3337,26069
272,1477,5203
2087,10815,41118
2111,11606,24157
4435,29896,26865
2400,4646,54776
4140,33985,37616
605,1257,13714
934,9015,10181
27,236,138
883,2703,19158
2234,10640,22220
1543,13640,4977
2654,9967,45423
2064,12413,21664
2599,18051,17721
661,4416,11807
3413,13683,64006
2146,14502,14562
3906,23452,65466
2521,16122,33675
6762,47469,62135
1164,9019,11188
9473,59883,61125
7715,48278,68369
3340,9111,71317
496,1980,10330
3605,27128,37406
870,7459,13951
1035,4142,21613
14,121,109
5697,34137,51556
4301,24712,40840
1466,6301,23779
3296,18128,41222
7834,61380,44692
3458,10243,72001
2204,14886,32196
1352,5885,27808
1728,14817,12593
5493,34676,69582
2398,7523,43967
3878,17557,65242
3978,27250,32259
2581,14914,32929
4554,20806,61598
1784,6418,33270
5838,42672,36715
4110,22377,66447
3115,15485,47350
2783,12217,56878
1618,8293,26985
5268,20658,80292
8,22,58
2448,18469,26930
4889,25775,43735
2175,7254,41643
6305,49067,45584
2337,15594,30781
3103,15180,54645
1747,11838,14613
2105,14635,22107
509,3007,9460
120,745,1039
1215,3866,26403
4511,28386,66955
4301,29244,30227
2073,8675,30088
6,22,54
3845,15891,46738
2278,15544,29603
3217,15564,60091
3669,28581,38665
1175,8496,14107
2155,14005,19523
2328,17300,20499
1611,9785,16190
14,51,131
3119,21175,32624
3572,19785,48824
2743,13920,43785
6141,35924,70769
2575,14820,38176
7730,32819,102544
1165,3112,25919
3589,26935,27872
49,343,426
9,25,94
4690,22208,66298
3997,15605,72168
2766,10847,46471
3454,14213,63343
5402,33577,71974
1665,5315,29705
8258,48723,77082
1076,4064,22518
5573,13492,92883
3897,32486,25576
6448,42218,33341
1029,5637,19970
1980,15119,25305
2390,15052,31055
7330,33016,103208
5619,42671,55120
1039,6988,3966
1652,6274,32314
3308,16883,61197
913,7302,9771
2175,5990,48285
9019,54850,77158
504,1790,10614
948,7372,12132
2034,14463,20863
7033,39190,88401
5742,35902,61145
7464,46543,76021
2495,11412,30355
1376,10711,7054
387,3202,6350
1051,7146,8907
2933,10781,57782
5,7,33
2525,17151,14848
2951,17642,23545
7577,51856,60755
155,529,2926
4886,41454,22389
1851,7950,26539
31,119,334
4205,30405,32971
7,15,61
12,47,91
2530,19810,23742
1056,7071,13959
857,4381,8840
3717,17380,44985
970,4837,19313
406,2411,6431
2926,13139,56601
3820,16371,28296
2007,12951,32742
3292,23055,36717
4040,26811,30204
2697,24048,25883
3008,16345,39956
9133,42606,90014
8525,35463,122592
2994,16951,45839
6051,22901,74497
408,3744,5096
3553,19226,57799
5910,38903,64872
3519,22292,48871
2406,6882,53076
3807,21196,40763
12,48,75
2876,21594,32504
2473,16215,35764
1861,12214,18598
3027,20834,37671
10097,49034,113076
6559,32729,80682
533,5832,5897
1865,12984,26533
4356,13684,80814
10278,56110,84381
18,93,109
1096,2510,24786
7551,35821,79381
7,11,65
2658,15343,17668
12,53,127
1046,4198,21829
5603,31837,57858
2324,9375,37073
1485,9934,10685
3243,20122,38491
2000,6009,43885
11868,68797,99311
4913,34981,27223
1540,6878,28624
4049,24511,62969
12,35,75
1037,9782,15998
11833,68768,93488
4538,15864,76060
981,7752,16554
312,3156,2012
2513,8934,53796
5,9,30
4084,22938,46321
4717,20708,69821
103,964,1003
232,1032,4718
5567,40513,68362
1768,6709,37425
3276,21217,46658
3449,22142,44593
13,34,191
2487,6936,55045
1350,10334,14108
1230,4685,25829
3882,28043,32355
3753,24910,45205
2054,15643,32431
26,185,177
1767,9640,30701
2839,16985,48056
18,63,207
2919,21176,41261
6670,31222,108924
5761,25143,77237
1955,20216,25279
