wc,tif,trb
968,5971,13814
1795,9266,18934
1802,11366,14868
1054,8541,6408
865,3712,10749
127,780,1091
2333,11279,20660
549,3358,5014
624,4777,4626
781,5888,7390
649,3745,6771
3004,12583,30393
1165,7923,11944
566,4657,5912
905,3934,14634
570,2847,6316
1222,7650,13544
1070,5852,8221
1785,8657,17212
1369,8619,8996
1277,7517,9526
1369,6755,15542
1398,9039,8922
875,5089,9036
1658,9349,13790
161,837,1730
653,4422,4664
1406,8820,10293
1999,11394,15954
1987,10081,23439
1692,12260,15351
1555,8547,12470
1785,11239,15109
2114,14535,16604
751,4419,9748
2626,17044,12867
1374,6280,18875
1001,6790,7157
491,2610,7494
1474,7837,8538
1644,10151,10967
654,3686,8726
1072,7158,10857
577,3158,6428
1496,5535,20544
1274,7012,15242
1845,10086,15982
1195,8847,11335
916,6582,4577
1026,6704,7844
964,7557,5101
1639,8774,11781
815,5445,6808
2613,13319,24536
403,2663,4655
1571,11050,10506
1291,5700,13798
1184,6930,11316
553,1907,10738
1534,7507,17135
1598,7273,15501
2897,15031,29579
2233,11953,22457
1254,3933,19675
1251,7534,14644
1789,12653,11569
1995,10476,18389
1807,11363,10945
309,1580,3217
1102,6228,11786
2293,10576,19095
1329,6185,14956
1247,7676,11506
926,6440,7078
1366,5650,18063
1235,5603,12256
862,5077,12238
204,852,3113
1196,6146,16152
1268,9579,9633
1654,9384,11851
1030,4115,13552
2865,14223,22731
1542,9384,12806
3320,21516,18187
932,5260,11129
1655,8748,14619
2301,10843,24024
2160,10919,22740
2228,11042,21562
2381,13014,21045
1552,6766,22878
2150,13501,10234
1970,11030,20547
3102,16260,44603
1028,6904,8373
1294,6820,16472
1980,12992,12247
2081,12339,18680
1272,6279,20049
1961,12883,12832
1435,5542,19785
816,3537,12163
2659,18535,13454
1587,9457,14393
1993,10971,21026
1068,4518,17076
824,4958,6550
1299,7470,15583
872,4824,7189
1847,8643,19699
1198,9145,7840
1143,7730,8840
2335,14920,17863
876,5667,9076
2445,10816,25705
1440,6247,17371
2514,14498,25474
1352,6674,12310
1485,7081,15966
151,716,1761
950,6622,9906
1403,5939,23238
2074,13633,17973
1187,4488,21371
2164,12446,19303
1459,8191,16862
2247,11837,25513
2074,13948,14771
2217,9522,27834
2323,10898,24146
2377,12935,20201
1804,10084,19563
1682,8731,13441
1870,12157,10180
2757,17553,21928
1643,11936,9418
848,4699,9087
2157,10603,21869
