wc,tif,trb
1245,7742,18081
1721,9458,15490
1898,14101,12777
1105,8665,8389
869,5790,10272
79,733,316
3125,14918,24955
709,4478,6262
426,2431,3350
200,1605,2997
538,3842,4228
2555,10977,25201
1152,8270,11783
236,2055,2262
715,3744,11379
840,4496,9416
1338,8805,16921
1020,7582,6385
2788,13674,27045
2290,15106,15340
1317,9415,7916
943,4665,8816
1700,11089,12441
1460,8579,14003
1719,10327,15598
18,131,163
389,3145,2788
1348,8650,10323
2351,13961,18431
300,2052,1641
1441,9945,14648
1062,8079,5841
2047,10377,18022
2041,13149,14742
636,3242,8520
1994,17083,5499
1040,5831,13940
332,2459,3823
577,2954,10216
2120,11421,11740
1903,12360,11516
794,4054,11211
827,6137,6353
606,3126,8457
1603,7451,18203
1086,7164,12796
1968,12377,15237
1565,12347,14814
601,4032,3682
182,959,2275
1301,9479,5748
2169,11436,13996
969,6757,7614
2854,15355,28658
153,622,2993
1502,10910,9900
1008,6122,10819
1239,6308,12746
425,1743,8552
1681,9102,16490
2122,10127,20600
3779,21973,34219
2170,13246,20085
834,3119,11489
1819,11223,17532
1823,13474,11049
2520,12046,25300
2263,11721,12625
14,59,115
1474,8709,15435
2434,11998,19432
1241,6582,13250
1608,8329,17119
756,5954,6458
1643,5291,23766
1751,9610,16941
1004,5111,16415
16,35,231
1256,7959,14108
710,3670,7528
1397,9120,11116
1398,5432,18967
3280,17442,22254
2211,13424,17847
3693,21650,21374
1302,7328,15254
2198,11582,18771
2020,9715,20338
2560,14359,21712
2416,12777,21038
2294,13951,17495
1364,6034,18510
2474,15955,10385
1904,7563,19625
2518,18106,23367
1628,9967,13340
1103,6138,15302
2479,13657,19088
2751,16438,25810
837,4378,14461
1803,12829,13768
1479,6820,19004
1101,4471,16790
3364,21571,16301
1714,9279,16323
2235,12067,22503
850,3612,12750
1287,8226,8843
1014,6249,14743
820,5752,4935
2324,10215,26249
1245,9798,7765
767,4709,8199
2336,14657,23096
1169,7508,11776
3042,14777,28894
1342,6797,13827
1493,9542,11403
1413,6587,15887
1782,9580,16587
43,233,698
890,7800,8922
1672,8954,26744
2787,19138,21839
853,3089,16238
2413,15784,19021
1468,8875,16537
2606,13535,31001
2239,13973,19027
2145,11594,19658
1926,9503,21092
2893,14975,25025
2554,13743,27912
1706,8608,14029
2251,14356,11452
2556,18419,19701
1912,15132,8711
1186,6510,12491
1981,11555,22594
2642,10921,27727
889,5155,8341
1386,8600,11711
1987,9183,18383
1159,6863,14050
1349,9329,9955
908,5007,13459
1100,7288,13174
2698,12676,23547
2365,14483,13120
1313,9465,12772
2775,12307,26625
1919,7490,16848
384,1922,6520
2244,15820,12821
1357,7993,12219
2247,10748,17170
1927,8025,23134
842,4526,11462
2626,11993,28800
1593,9128,13303
2420,14633,16549
2980,15347,23471
1959,7763,22756
980,6519,8813
2796,13751,24091
38,163,611
2208,12742,19951
1171,4117,16436
2793,20351,17362
1369,9304,8105
1361,6688,12740
3442,22626,25654
1255,7303,14411
1945,8299,26262
1194,4831,13657
1896,11063,15652
1218,7785,7164
1772,9984,17412
1345,5517,20565
1282,7813,14970
1965,7246,19191
735,4638,7703
2129,12698,11621
2308,12459,21904
2086,10977,23569
1654,10203,10664
2975,14507,24151
1666,9393,17077
1405,9617,11168
621,2170,12283
2085,12305,17659
1478,5688,19511
1735,8561,16313
3067,14267,30151
1221,10296,7148
2227,10638,22906
947,3943,17575
2621,15232,22515
1558,9102,12698
816,5747,10278
2356,12972,21705
1817,10714,16963
1758,10122,13191
2374,13686,18257
1537,9549,18898
1663,13036,10613
1326,8142,10574
1253,3976,17642
2958,16186,23787
1494,10443,11935
929,4680,10981
1238,9969,11770
1112,5868,9753
2472,13897,23114
1700,9253,14647
2006,8465,20795
3446,17228,31161
1078,6162,17849
3303,14333,34654
2460,13556,24339
712,3333,13723
3996,26131,26326
2539,16868,17816
1995,10949,25940
1711,10219,15878
2075,11046,21591
1255,8181,8317
3068,16375,18882
