wc,tif,trb
3732,9499,83201
4408,26823,47158
2817,18531,25664
3128,20301,40657
1735,8232,34697
2036,17338,21288
4872,27888,65163
5724,24302,102932
6899,51781,69963
4822,37069,59337
3397,26695,29626
11728,64995,125823
22,96,306
2365,14644,34197
1141,5645,21840
2289,11447,32937
1563,14849,17974
727,2947,15026
4160,17005,82820
327,2712,4539
7540,48977,81727
34,205,431
6579,38480,58515
4316,19118,68170
4875,21769,79093
6898,42156,61359
2877,20428,20666
2503,10059,52218
4966,20966,95166
485,3093,8916
6465,30225,107958
2328,19847,34174
2944,21708,28298
1567,10794,18295
4731,22117,71748
1676,11822,19185
3993,13084,81963
9940,50774,113446
3249,12264,57107
2089,4622,47305
16,104,142
2007,19420,15711
743,2722,15609
1968,9822,39258
3962,22995,54774
5997,41519,28436
1103,6141,15938
3485,11467,72120
4931,21744,69829
5174,28644,60074
13,73,136
7343,40100,76734
4382,12395,75681
12,67,91
3488,20955,35130
4120,14211,85363
3546,23674,51482
240,1152,4094
3189,14261,51140
12,93,47
1031,1575,24022
7631,32730,94515
6696,42693,82401
12,20,189
2805,11355,43908
9081,51791,89220
8935,37875,92842
3179,22225,46592
3313,22216,46349
4645,26143,56320
3056,15546,52870
4861,36248,53861
2534,9887,48043
4716,38448,49032
1895,8614,38282
1375,10874,17883
5555,25849,82696
5866,35727,65804
3842,17901,66677
9013,45976,110823
2956,29536,32903
783,3687,13452
6620,20865,126809
2531,20716,13680
3931,23522,59667
25,130,253
1472,8024,27708
8657,46904,94170
3569,22006,36572
2479,15812,20612
6659,43306,57365
1976,5158,39956
2579,11166,48055
2659,15356,38062
4437,22088,75221
7489,41395,80369
4754,23184,71167
4294,26543,30083
6824,40486,110531
2592,9664,33326
2816,6493,55753
5987,28871,82770
1252,1909,29259
12878,68109,117953
715,2500,15250
1505,6967,29298
10464,72306,99173
6114,36428,92458
3400,16197,62781
8835,61373,77335
3129,14595,63194
7513,42384,104442
2400,13859,39523
8467,38485,81040
295,3128,3937
909,3725,18511
2004,6446,39325
8061,62537,62729
2221,8343,41352
7732,49149,54547
5710,34913,62483
6904,34185,91993
1315,5788,26089
6917,48241,51788
2768,14119,43591
1802,15016,24040
2033,8243,27629
2567,17417,37066
6863,34791,113092
2579,14670,33575
1821,14666,12189
8232,66398,38612
7638,55343,59385
1055,2064,24133
12,37,131
2269,15986,34969
862,5671,15229
1039,4990,10891
7641,47918,59007
1331,7013,17512
1990,8793,35623
551,5375,5724
36,191,378
2744,6181,60903
3538,19689,41537
6195,41383,70564
1310,5262,27316
1882,12236,22882
7311,43859,50665
4373,27731,43093
12241,63827,143238
8889,44716,103846
42,245,405
2458,16257,35447
158,1076,2510
2610,10453,46950
4078,20512,54218
109,728,1841
