wc,tif,trb
5662,24305,113803
219,1588,3127
182,1434,2972
416,2618,4628
12,27,169
15,94,59
3448,20857,44241
6339,22804,115139
6194,62752,60365
6256,48479,66945
4405,42214,45255
6988,31555,112693
15,93,180
251,2010,3931
170,662,3486
12,24,124
4272,40540,53164
226,1986,2992
3646,13019,77064
8,34,46
3586,23336,58370
8,23,57
3052,19804,56370
3213,11236,68975
4627,19317,96176
4143,39627,49396
1832,13279,17367
3111,12556,65087
3053,16748,59436
4,9,32
8288,29985,151504
267,2615,2979
8273,54998,77419
239,758,5045
3215,15522,64559
476,2247,6376
3210,9678,70452
4176,16999,79023
3404,14293,66653
837,2032,18852
197,1477,3365
8,30,50
170,2043,2087
251,1233,4922
189,689,3696
737,5240,5318
573,3094,5799
4664,14242,102238
3053,4587,71639
1737,11972,27548
48,358,638
10284,60529,120845
9626,61307,113079
145,363,3162
169,1142,2164
6321,31438,119987
3138,19820,58426
9,19,74
4978,37056,67962
175,422,3797
6,8,58
12128,38563,151372
3832,31164,51116
196,432,4239
10,28,70
10251,58031,100430
2914,11426,61320
182,1055,3451
6067,33239,84794
410,2345,5001
249,1391,4002
4573,41120,59387
3216,12683,66561
2551,18483,36630
1455,5091,31164
491,5029,3917
5062,16701,85702
2566,12262,50762
3357,23684,55761
7473,41820,91187
2684,26466,37699
289,2095,3610
4635,16956,95678
10,92,38
7505,46703,118396
250,2102,2300
5,1,51
13906,55072,184767
12557,78658,101388
16,124,126
7969,64625,65055
6,7,60
3107,12676,64829
7,10,65
3537,17567,67767
6346,52169,83692
7621,52296,91523
748,4828,3964
8210,57311,120118
847,4302,9345
6,3,61
4725,31354,73471
2911,4365,68310
11904,96220,63986
6,15,56
5,7,18
10534,81237,97347
3276,28802,51152
3046,21251,54696
2849,26126,41655
4568,25307,88830
8043,61197,114874
173,767,3458
1499,9565,22798
14,102,80
14,37,97
174,930,2393
8862,73497,76889
169,1224,2901
11929,79928,103867
649,4911,7178
2439,25395,32562
3052,13723,62457
361,3228,4524
5,2,42
252,2605,2825
9,24,110
452,2874,7393
5217,28178,102136
172,2594,1426
606,4975,3991
8310,85398,41111
5899,55683,46146
2891,8422,63772
3,2,14
358,1323,7507
8,20,60
250,1146,2571
1196,11288,15654
265,2505,1341
815,3526,12134
416,3689,5313
12,88,92
3216,6441,73827
57,623,299
4880,40138,64496
6,12,32
180,884,3430
2874,29627,37057
1648,9472,31608
9311,54886,126997
13820,84508,138618
2,1,8
451,3932,4345
168,656,3444
3,5,27
2935,17637,53292
8,25,55
2960,15357,57525
187,2036,2407
290,2222,3284
7,10,61
185,782,1172
7906,36715,108334
359,1737,5930
221,1313,3866
292,1499,4979
8,15,65
253,2815,2630
265,1293,5046
333,3141,2886
3298,28144,51733
3879,29080,52463
5,21,50
169,662,3468
801,6038,5155
3050,7629,68521
165,1200,2821
4,6,28
6287,39392,94711
151,2110,1386
297,2699,4613
2,1,6
10,27,91
1659,8812,15472
253,2957,2523
475,2977,3218
584,3858,6650
6080,25884,107857
7631,43744,128372
8,6,135
13383,77072,133485
7959,61312,87804
7,7,68
7,19,50
15,103,92
549,4922,3423
9,25,93
9213,87505,49836
189,582,3827
18,65,241
3165,23507,46808
10,71,59
36,572,208
170,987,3170
256,2752,2729
10,23,79
14,61,133
119,1658,861
12446,101282,76287
6,11,39
13,64,161
379,1200,7117
677,4175,4727
3216,9669,70611
1096,8250,11776
7447,61816,47211
10,23,151
6,9,51
167,497,3612
416,2324,4318
5,11,18
8,20,60
3628,12642,73559
6,19,49
240,2157,3063
252,2417,3031
6095,25889,108108
2220,5544,49871
1224,9927,19899
168,980,3132
4,8,20
9089,79689,81896
3545,12720,71771
1899,7931,38383
3332,12034,67538
3214,11784,67474
7420,58032,80394
6,28,48
4809,9840,110297
10,47,97
5,5,63
182,746,3588
252,2944,2536
3666,40415,43277
6218,44234,69500
8085,48198,97003
11,80,141
4756,50906,50050
3002,17058,57888
170,503,2655
436,3055,3919
198,1501,2955
10706,50672,125892
5,14,50
3050,12052,64022
9285,50737,111695
4985,50479,55384
5,6,34
3050,4576,71570
3055,12214,64039
255,884,5377
97,462,1837
379,3011,4720
2098,14042,17527
3132,13716,64464
3,0,21
5561,16271,109058
2370,25125,26185
31,317,178
5,3,39
3289,12339,69526
318,2519,3239
7,10,63
3436,17616,63780
1058,13278,11926
3061,10701,65707
793,4383,6552
703,5694,8533
6153,36864,107258
4394,20401,72929
14,108,68
59,595,466
3053,6102,70129
4,6,32
6,39,36
11956,52262,138808
3296,22572,56042
13608,45458,157540
938,6383,4745
3461,23207,58508
14,100,72
12,80,76
7057,30677,95167
653,3686,7329
7,28,33
3229,32221,38272
18,95,159
114,386,2344
108,732,1085
8,41,39
3050,16745,59403
49,440,409
748,5245,8223
2704,7836,59164
7266,63903,69853
8,38,42
199,835,3955
8,29,51
24,127,209
409,2956,4041
63,486,518
3129,8019,70133
1374,12369,15059
186,2234,2151
40,268,594
6020,28633,104377
6073,48248,59776
6091,32505,101645
3199,15909,63138
8617,74271,80792
232,1079,4245
14727,106348,76192
16462,83278,131027
3057,6273,70070
4,13,38
959,9279,5133
342,1391,6873
2288,9137,47963
18,110,168
14528,90953,144869
6184,49073,85620
5919,34074,96015
3175,27861,50114
11076,87804,79817
3711,11360,75935
5820,44517,84723
406,1630,7468
333,3552,2475
4154,38720,54954
464,1094,8762
11375,56573,153150
10976,78915,85864
469,2156,5939
3498,14692,70194
3471,12033,70966
4559,23734,66680
4647,20060,95827
3606,24995,61497
3948,20275,78305
3302,40421,36741
6289,36486,99415
6,9,57
487,3379,5608
14011,72030,118235
10094,31263,143554
7333,67003,64640
3084,25488,28388
3226,11867,67691
307,2425,1678
3265,26416,51028
330,1475,5713
18,121,181
560,2552,6748
6430,30932,107752
9345,72518,78622
206,601,4379
59,375,1026
3623,7375,76568
3599,24192,57385
3976,19242,78028
2949,24682,47345
608,3947,6706
7,37,56
953,8223,7488
19,152,121
2827,15384,54629
438,3038,5230
5687,50039,72972
3298,18775,59893
10735,66958,109115
648,4722,8164
7298,34816,117243
5,10,47
922,5347,8566
7,16,53
9,22,138
5292,30121,81958
6259,29267,108824
3160,9228,69380
5067,13356,101477
10108,54362,145237
312,1891,3324
17418,97889,136342
3339,12509,67782
7952,21118,132698
7297,68396,48639
18285,105992,96441
