wc,tif,trb
2,5,25
7,13,42
4,10,50
4,7,28
5,26,68
5,11,30
11,56,59
2,5,20
9,29,66
12,69,191
1180,11033,14667
10,40,170
6,36,65
13,85,150
4,5,57
3,3,28
5,5,36
3,2,7
8,28,125
3,5,10
17,112,147
2,0,5
5,5,40
2,1,6
10,27,78
4,9,47
8,23,57
2,2,18
9,55,125
6,14,57
10,32,180
3,4,16
5,7,28
6,20,40
4,7,28
4,5,30
5,3,39
5,12,32
4,1,22
5,17,45
4,10,10
7005,46692,107407
4,5,22
6,15,29
5,3,53
3,3,13
3,5,26
7,22,33
23,105,349
17,87,242
2,1,10
6,24,47
8,39,41
5,13,40
3,9,30
6,17,58
3,1,27
3,6,42
4,15,47
5,1,45
5,6,49
6,17,34
6,4,65
1,0,7
5,12,17
7,12,64
5,9,37
3,0,30
8,42,38
4,7,35
6,19,41
6,9,51
9,29,101
2,1,14
4,4,35
3,2,14
6,10,55
3,5,8
4,3,18
4,10,54
4,7,41
3,4,26
20,110,150
4,2,19
430,3274,6122
4,7,32
4,3,38
34,239,491
7,18,87
5,10,36
3,3,32
7,15,46
6,8,63
2,1,6
8,30,50
1029,7317,15136
3,3,28
2,1,3
6,22,47
5,6,54
4,3,17
5,15,41
2,5,21
7,11,44
4,5,22
3,1,19
7,22,53
4,5,32
1,5,14
5,6,25
6,11,39
7,20,35
5,9,16
7,16,39
5,9,34
9,24,122
3,4,35
4,4,14
4,5,34
6,22,38
5,5,36
2,4,16
6,14,32
4,8,29
867,3892,17737
3,4,31
12,54,125
764,6593,10166
8,15,65
6,18,51
6,8,28
5,2,27
12,97,49
2,3,31
2,3,23
4,5,23
5,11,24
4,9,35
3,4,16
5,14,27
6,9,42
7,23,53
4,3,46
6,11,25
6,17,19
5,8,59
3,2,18
14,119,114
5,8,27
7,23,57
4,12,22
7,35,40
10,59,83
3,11,24
3,2,23
3,4,37
8,42,38
3,16,33
16,59,244
5,34,37
5,18,21
3,8,36
5,28,43
5,5,44
5,10,45
4,10,21
2,10,34
0,0,0
3,3,24
4,6,22
4,13,33
4,7,33
9,45,63
5,19,27
3,4,33
2,6,13
1,5,20
5,13,33
4,8,8
6,29,42
7,21,34
3,6,22
2,3,13
4,8,26
7,11,64
6,22,49
4,7,24
3,3,25
2,2,9
2,10,34
3,6,38
3,0,16
8,34,46
4,2,18
3,0,11
2,0,20
5,10,56
4,1,33
5,10,15
5,4,45
7,6,63
13,97,154
6,9,27
3,2,11
4,9,75
3,3,13
4,7,27
3,2,18
7,28,27
7,14,41
2,0,9
8,45,83
2,5,21
7,20,79
5,6,35
14,75,235
5,7,24
6,15,45
4,6,49
2,5,27
6,22,49
3,4,9
3,4,12
16,50,211
5,3,24
2,1,8
3,3,13
5,5,20
245,962,5063
6,8,40
4,15,38
2,0,4
6,25,39
514,2306,10389
7,7,48
7,10,70
10,34,108
14,60,62
5,12,39
4,9,19
4,10,20
2,0,11
4,12,36
3,2,30
6,4,40
9,52,67
5,16,11
5,17,40
18,91,135
1,1,10
6,15,33
3,1,38
12,111,87
3,4,35
3,5,40
5,11,18
7,32,43
6,11,50
3,14,30
5,24,40
3,4,24
849,2976,18206
3,4,49
5,5,34
7,19,36
3,5,25
2,4,25
14,58,172
5,8,37
5,6,19
3,0,24
4,2,23
13,70,168
4,1,21
8,41,39
5,23,41
287,1142,5994
4,5,40
6,15,21
2,2,18
4,11,28
3,3,20
5,20,51
5,6,44
2,5,27
4,6,21
8,53,27
5,13,42
5,8,52
6,13,23
3,3,45
7,17,38
5,2,23
