wc,tif,trb
9,32,70
15,94,125
3,1,10
6,10,40
8,41,39
7,22,49
8,10,70
19,58,142
7,26,45
8,30,64
8,34,81
12414,109251,102741
17,123,120
15,95,135
5,6,65
354,3144,5605
3,1,14
9726,73091,114289
511,4270,6216
6,23,27
4,7,38
201,922,3549
12,65,156
5,13,26
5,14,57
4,5,22
4,3,17
2,3,13
253,1861,1734
59,198,1198
92,1073,826
3,4,12
172,935,3021
57,328,910
67,466,729
21,321,42
2,0,4
7905,42273,131585
6,20,16
4,13,38
7,19,54
80,663,1019
152,1326,1968
5,14,46
19,116,175
5,4,46
121,897,1678
77,263,1630
6,12,24
75,263,722
6,19,52
5,4,42
7,17,38
6,24,12
4,4,31
1,6,13
5,11,26
103,317,1490
91,994,1062
52,417,811
5,21,20
4,5,47
11,37,184
9,44,81
11,72,65
8,17,63
18,81,245
7,21,55
5,11,30
5,12,32
4,2,16
9,16,94
5,6,36
5,9,36
81,361,1450
729,5333,12798
37,297,562
10,48,123
14111,90673,169033
8,23,57
29,163,388
13074,76726,187345
3497,33866,43000
7,16,39
21,63,160
90,1015,917
93,480,1479
13903,103481,132750
8,28,52
10,57,82
16,87,129
11,26,93
8,54,26
4069,43943,29451
145,735,2808
4,4,16
8,29,51
5,13,53
12,112,68
5547,24931,80400
7,39,16
11,30,143
5,3,28
8,26,54
71,554,746
4,7,43
6,14,37
292,2727,2635
4,6,28
9,31,95
3,0,33
8,24,56
92,785,711
72,265,1031
31,176,335
28,162,222
6,16,30
5,16,34
3,1,14
122,809,1164
44,264,583
9,40,91
1054,8625,8043
13,79,172
7,15,54
5,10,48
7,33,40
8,17,63
8,25,55
2,1,8
6,8,42
6,15,46
8,52,28
5,7,37
7,18,55
6,18,30
9,28,88
7,20,35
7,13,42
8,29,51
13,61,160
8,13,67
16,211,69
6,22,26
21,115,258
7,17,38
3,2,18
21,112,241
7,23,32
5559,19438,119319
433,3787,5598
3,7,23
7,33,47
264,2291,3661
13,80,124
310,1917,3967
157,1524,1442
6,14,57
120,556,2066
3,8,19
7,11,50
5,8,51
16,138,64
7,29,44
10,17,149
214,1059,4119
5553,19415,119321
6,11,45
5,22,31
8,18,62
5,10,27
8321,49894,133029
4184,26496,65542
274,2859,2064
6,4,47
7,26,50
6,11,45
4,6,29
217,1484,3365
12,28,152
37,231,277
7,19,61
5,13,58
75,290,979
7697,91167,76370
11,69,68
805,4721,10018
85,637,1138
2340,13352,40883
127,1055,1210
20,75,137
10,61,72
6,7,57
261,2513,2846
15,32,172
7,25,51
5,11,44
6,9,39
16,94,162
6,18,32
6,9,46
7,10,61
9625,107013,88741
6,10,40
22,134,254
909,9544,4848
12,84,64
62,749,453
15,73,146
22,121,225
8,23,67
100,927,1165
10,40,56
12,86,94
755,5856,10568
14,53,171
4,10,50
23222,141130,207151
25,111,198
13928,77610,186225
20,193,198
60,263,973
8273,50685,85192
1549,11071,15437
119,585,1954
25,128,238
8326,49930,133112
5,2,23
7,4,65
4,5,39
8550,127730,57256
67,558,1011
10,64,84
79,729,328
42,252,717
16633,63792,152436
18,109,222
18,174,90
4,4,23
13,71,148
7,26,49
19,135,217
6,22,53
6127,52847,94919
62,352,836
7,10,51
