wc,tif,trb
1029,5445,14818
2453,14825,16835
1810,15117,9901
1760,9315,18379
443,3026,4889
660,4467,6079
3260,17389,27121
607,3769,4743
724,4795,8113
1403,8638,8829
1381,8991,9488
1419,7342,18553
3355,25064,18198
241,1485,2377
1402,6314,18742
766,5137,6595
2805,15865,20454
517,3420,3915
1784,10275,17287
1479,7363,12527
490,3112,3454
1348,7034,13231
2098,13742,14630
508,3399,4777
1813,11020,13591
300,1963,2997
1608,9464,13025
1697,10747,12506
2139,13651,17894
1199,6735,9386
1549,10153,16184
1057,8056,8710
1834,9593,20813
1344,9284,12629
529,2681,8574
1777,14586,6755
1800,10320,13927
1536,10842,9417
374,1522,6467
3442,17748,26313
1395,8798,11295
268,1897,3861
1031,8321,4757
532,3102,6504
2725,11855,21399
2255,12477,22313
961,5022,8573
2308,14333,22641
1986,13446,10811
2491,15569,15721
1598,9227,10948
2807,17473,20627
569,3708,8059
1042,4913,13570
377,1488,6708
2123,12389,18416
1974,11329,15249
901,4486,11359
520,3468,4907
2664,16366,22105
2370,9652,25376
2992,18647,22309
2059,12436,18707
2446,11788,27941
1620,10620,14467
1651,14359,6662
1941,10215,21379
1343,7485,8937
349,1728,5027
1890,11558,16338
1980,11502,12540
1121,8063,7196
1628,8837,17056
2253,17521,9635
1739,8573,16622
520,3523,5845
517,3675,5099
655,3248,9366
1989,10789,15411
1369,6872,15864
1562,11296,13147
1698,9080,13242
1029,6160,11363
2777,16003,21998
3752,21767,24730
800,5464,12956
1211,5984,18089
1048,7068,12486
1550,9481,14868
2324,11121,22055
1470,7454,16568
1127,5527,14455
2691,17307,17009
2630,13991,22490
1924,12175,20587
1862,12028,14700
1483,7796,20789
1806,12185,12566
2218,14765,15480
691,2723,13153
2743,15433,18832
1542,7757,16073
1183,7196,9968
1350,8555,10408
2766,14933,19501
1104,5181,14801
1551,9916,12687
409,1920,5446
548,3125,9049
1708,9921,14086
1377,6179,16100
1642,11555,11716
1338,8031,13372
2813,14854,29167
1414,7387,15947
1669,9243,17534
1429,7605,17009
2190,14231,14174
2240,11844,17250
990,4290,11988
870,7337,4783
2157,13557,15196
1713,9106,24193
2804,19516,20943
1520,9251,18090
2387,14007,21329
950,5177,12413
2589,13545,28752
2385,15577,16234
2182,15011,13560
1064,5800,15035
1777,8835,14621
2997,15481,27428
1794,8861,14201
836,5537,8210
2941,21851,21436
1670,15091,7102
755,3981,9724
1664,9565,18964
1768,8597,16518
437,2395,6225
916,5610,8579
2128,10150,24323
922,4763,12813
1823,12216,8552
2134,12661,15845
602,2670,8599
2001,10608,15939
2162,14126,15138
3102,22076,23024
828,4681,11574
1113,5638,13675
1040,5390,9565
2309,16350,11311
1504,7736,19076
3315,15224,25998
1760,8673,19582
498,3166,4658
2814,12936,31971
1537,7756,15343
2350,15525,14196
1493,7445,18645
2528,14844,19632
2827,19122,17822
3262,17020,25205
449,2422,7139
2158,14778,16322
2647,9704,22925
1616,13139,13626
1129,6331,12085
2013,10320,22193
2234,14718,16552
1443,7406,17102
1777,7589,25999
1158,5734,12675
1924,10955,18218
1990,12773,10355
2519,13349,26847
647,2531,11642
1266,6541,13841
2135,8913,21582
947,6499,13111
1288,6632,13014
2607,12894,23284
1537,10630,14667
2070,10588,20538
2652,17061,15247
1386,7860,12796
1648,13110,10264
1450,5773,20305
1022,7579,7955
1079,4371,17542
1641,9689,13307
2487,11934,23098
909,5943,8270
2543,12843,22042
865,4335,11172
1143,5334,13459
589,3990,5929
1358,6505,15623
1114,6417,12582
1717,10756,15357
1305,6669,14307
2917,15179,23224
1996,9197,27101
2237,12823,20065
1040,5770,15091
2114,7889,20189
1267,11118,11344
1245,7059,13235
1049,5735,8034
1414,7225,12960
1617,9368,10781
2256,10444,17008
2302,11153,23372
2425,9606,27633
3050,18249,22504
1672,11011,23851
1785,9425,22508
1425,7020,21787
733,3743,9485
2893,20451,17192
1464,6140,14603
3596,21077,29949
2426,15483,18146
1945,13973,10990
579,4525,6176
2483,12844,17445
3869,27603,21286
1591,10657,13928
982,6859,7291
1197,4852,15458
1712,13646,8448
1841,9621,19345
2401,10585,30232
3808,21083,42105
1074,5918,8656
3413,17213,36357
1917,11524,16904
2646,19135,19637
379,2388,3957
2817,12154,24665
1707,9316,13456
2772,14725,24268
2425,11078,24541
1274,4140,23159
1361,7954,14745
1965,11102,15172
871,6054,7255
2909,18107,15941
2369,13962,15920
2370,10259,24124
1006,5524,15853
1645,11138,8077
1499,8499,16269
3198,17418,40189
2243,10541,17107
1336,8992,10376
2308,16503,13291
564,4238,3521
805,3059,14157
2801,13047,23861
2455,14001,20842
1116,8404,5969
1775,13592,8912
831,4907,5604
856,4854,10710
440,1988,7763
656,3191,7509
1014,4457,11919
2041,12020,15709
1124,5009,9722
2954,20931,15821
1950,10005,16628
1513,7957,15448
2968,17470,19463
1980,11592,21835
2406,14592,21319
3000,14010,21624
2295,9364,23939
546,3197,8534
1407,8803,11088
787,4534,11424
3864,20966,25929
2036,14845,13107
1072,4705,9772
1779,11511,14487
866,4533,9960
982,6690,8769
3220,18379,30254
365,1929,5082
2060,12005,14741
1448,7911,11947
1911,7994,21686
2708,13410,23620
2192,12170,20568
1220,6862,13114
2343,16091,13219
1176,5788,12342
1970,10412,26185
2919,18164,16772
1550,8757,13807
1565,8125,16530
2908,15603,21494
1092,4339,15707
1477,9674,10033
1140,4955,20409
4176,26276,21618
1708,9176,16451
2290,9200,25470
1323,7089,16621
3101,17010,28016
2301,12648,17783
874,3621,13312
763,4583,9575
2370,10765,31641
1879,12196,15779
2253,8596,24356
2498,14102,23827
2395,14113,18738
1805,11466,12999
1021,6333,8438
3816,26478,20599
3342,20645,23221
1187,5520,11542
486,2416,5581
1708,9964,16323
799,4225,9467
1244,5146,15150
2240,12781,15038
1619,10186,13180
2725,14868,23721
1090,5505,12630
2603,13882,23866
2694,15292,21488
662,4079,7151
802,4146,12879
1991,10120,21103
1969,13329,14567
563,3917,3550
920,5449,7450
2056,9790,19471
2628,14089,20675
3004,19003,21369
3339,19822,22337
1718,9419,14092
3563,12630,39110
2546,21639,12281
2945,18517,23744
2398,15965,17900
2170,14898,17895
1605,9065,16762
1344,6181,16785
1645,9193,23732
740,2700,11012
2283,15110,13735
570,2492,9179
956,5860,11617
1982,9999,15961
1345,6016,11604
449,2191,4555
2414,13886,19194
2314,9940,25680
1451,8424,13914
976,4103,12257
2397,11865,25399
2120,12067,15644
2028,14488,12417
280,1989,3062
3265,16984,25098
1080,7101,8178
4113,22254,37158
1858,11014,13325
2125,12405,16028
977,5410,14789
2098,12804,20721
2043,15151,11412
2476,17648,14557
1658,9897,13348
1871,11250,14052
1701,9561,15039
1993,11203,15525
642,4526,7152
2050,12541,18160
922,5545,9917
1166,7117,13284
2331,13305,17325
1361,7960,13709
1605,9223,13783
1687,7888,18952
1389,7479,16193
1995,10527,16362
1253,7768,15800
1760,13430,11981
1540,8417,14488
448,1388,8366
1010,7134,7040
1180,8277,9857
1439,9409,18332
2299,9068,27104
1539,9308,14283
2554,17543,14594
1239,7762,13949
2421,13540,16952
2047,11330,22269
1297,7760,13229
1768,9909,28860
1533,7826,25696
1728,10224,18056
2649,14810,22929
1433,7932,16709
1693,8138,22931
1749,9808,18427
2205,11409,25749
2789,15454,30530
1557,7722,16528
909,4302,9227
2311,7984,34489
2176,11528,17482
1042,5035,15573
381,2253,4324
640,5317,3877
1845,12236,9483
3414,17829,31404
2010,11938,18086
1201,5721,16295
1385,6636,15190
4313,20978,47140
2789,14731,25230
1953,13047,19363
1180,6464,14233
1415,6407,12212
2849,16881,17585
1399,8133,16561
2083,11563,21437
3177,13491,33994
1691,8549,15597
2302,17042,11378
991,5215,13134
1344,5036,12736
1638,7725,16942
1628,8931,17462
1493,8840,15105
2243,12007,17904
801,6282,9053
2245,14112,15539
1529,7991,17284
1903,12764,17478
2120,18028,11494
2507,14313,16872
2712,12736,26634
2698,14255,29726
708,2972,8862
2299,13550,18176
1340,8026,9694
1815,11392,11108
1994,11528,19543
645,3981,4380
553,2760,7437
2111,11501,18196
2267,11172,28237
2434,9524,32072
3583,26920,19980
2067,12364,20302
1860,10165,19344
2396,10507,27217
2114,13233,16004
2836,15946,25364
1656,10129,13429
3020,15426,32577
1936,9451,18077
688,5056,6032
2282,10372,25080
1732,9538,17751
2695,15650,33439
964,5433,11735
1272,6169,14719
2981,18901,21650
1648,9578,14041
800,4966,7756
2573,15388,16002
1360,7615,17524
938,8624,6716
3303,20760,23495
1400,7860,15005
983,5342,12846
2641,13622,26940
1880,7758,24139
1575,11133,14276
465,2254,4378
578,3123,7287
1456,8852,14251
279,1600,3523
2896,11893,34831
1318,6344,13203
2697,11410,29299
1720,10638,22287
533,3771,3989
4621,27289,38599
2232,14346,15782
786,5989,6165
1211,6011,15747
3093,17213,26187
1231,5273,15438
2098,13734,16016
823,3522,11757
2005,9118,22381
1427,8875,12898
588,3411,7577
2228,11697,19404
1617,12328,19439
1671,11505,19403
